"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"508","Exchange of notes constituting an agreement between the Government of the United States of America and the Government of New Zealand concerning visas for travel between the United States of America and New Zealand","New Zealand*, United States of America","1 April 1949 , in accordance with the provisions of the said notes",1949-07-29,"Tourism, Passports","Bilateral","32 (p.369)",1949-04-01,1949,7,29,1949,4,1,"Wellington",1949-03-14,1949,3,14
"491","Exchange of notes constituting an agreement between the Governments of the United States of America and Luxembourg relating to the application of most-favoured-nation treatment to the merchandise trade of certain areas under occupation or control","Luxembourg, United States of America*","3 July 1948 by the exchange of the said notes",1949-07-07,"Trade","Bilateral","32 (p.85)",1948-07-03,1949,7,7,1948,7,3,"Luxembourg",1948-07-03,1948,7,3
"490","Exchange of noes constituting an agreement between the Governments of the United States of America and the Netherlands relating to the application of most favoured-nation treatment to the merchandise trade of certain areas under occupation or control","Netherlands, United States of America*","2 July 1948 by the exchange of the said notes",1949-07-07,"Trade","Bilateral","32 (p.77)",1948-07-02,1949,7,7,1948,7,2,"TheHague",1948-07-02,1948,7,2
"506","Exchange of letters constituting an arrangements between the Governments of Belgium and Denmark concerning the free transit of airline crews","Belgium*, Denmark","31 May 1949 by the exchange of the said letters",1949-07-14,"Transport, Customs, Aviation","Bilateral","32 (p.337)",1949-05-31,1949,7,14,1949,5,31,"Copenhagen",1949-05-31,1949,5,31
"493","Cultural Agreement between the Governments of the Netherlands and France","France, Netherlands*","7 July 1948 by the exchange of the instruments of ratification, in accordance with article 16",1949-07-07,"Cultural matters","Bilateral","32 (p.101)",1948-07-07,1949,7,7,1948,7,7,"Paris",1946-11-19,1946,11,19
"487","Cultural Agreement between Belgium and Norway","Belgium*, Norway*","10 May 1949 by the exchange of the instruments of ratification, in accordance with article 18",1949-07-05,"Cultural matters","Bilateral","32 (p.39)",1949-05-10,1949,7,5,1949,5,10,"Brussels",1948-02-20,1948,2,20
"497","Convention regarding the merging of customs operations at the Netherlands-Belgium frontier","Belgium, Netherlands*","8 May 1948 by the exchange of the instruments of ratification, in accordance with article XV",1949-07-07,"Customs, Frontiers","Bilateral","32 (p.153)",1948-05-08,1949,7,7,1948,5,8,"TheHague",1948-04-13,1948,4,13
"498","Convention between the Kingdom of the Netherlands and the United States of America with respect to taxes on income and certain other taxes","Netherlands*, United States of America","1 December 1948 by the exchange of the instruments of ratification and with retroactive effect from 1 January 1947 , in accordance with article XXVIII(2)",1949-07-07,"Taxation","Bilateral","32 (p.167)",1948-12-01,1949,7,7,1948,12,1,"Washington",1948-04-29,1948,4,29
"505","Air Transport Agreement between the Government of the Turkish Republic and the Government of the Hashemite Kingdom of Jordan","Jordan, Turkey*","23 February 1949 by the exchange of the instruments of ratification, in accordance with article 12",1949-07-13,"Transport, Aviation","Bilateral","32 (p.313)",1949-02-23,1949,7,13,1949,2,23,"Ankara",1948-05-07,1948,5,7
"504","Air Transport Agreement between the Government of the Turkish Republic and the Danish Government","Denmark, Turkey*","1 March 1948 , in accordance with article 11",1949-07-13,"Transport, Aviation","Bilateral","32 (p.301)",1948-03-01,1949,7,13,1948,3,1,"Ankara",1947-06-30,1947,6,30
"495","Agreement on the air services between the Kingdom of the Netherlands and the Czechoslovak Republic","Czechoslovakia, Netherlands*","5 August 1948 , in accordance with article 10",1949-07-07,"Transport","Bilateral","32 (p.129)",1948-08-05,1949,7,7,1948,8,5,"Prague",1947-09-01,1947,9,1
"801","Agreement for the Reciprocal Exemption from Income-Tax in certain Cases of Profits accruing from the Business of Shipping","Norway*, United Kingdom of Great Britain and Northern Ireland","18 December 1924",NA,"Ships and shipping, Taxation, Transport","Bilateral","32 (p.9)",1924-12-18,NA,NA,NA,1924,12,18,"London",1924-12-18,1924,12,18
"820","Agreement for the Reciprocal Exemption from Income Tax in certain Cases of Profits accruing from the Business of Shipping, signed at London on 19 December 1924","Great Britain*, Sweden","19 December 1924",NA,"Ships and shipping, Taxation, Transport","Bilateral","32 (p.291)",1924-12-19,NA,NA,NA,1924,12,19,"London",1924-12-19,1924,12,19
"178","Agreement between the World Health Organization and the Pan American Sanitary Organization concerning the integration of the Pan American Sanitary Organization with the World Health Organization","Pan American Sanitary Organization, World Health Organization*","1 July 1949 , in accordance with article 10",1949-07-23,"Health and health services, Cooperation, Assistance","Bilateral","32 (p.387)",1949-07-01,1949,7,23,1949,7,1,"Washington",1949-05-24,1949,5,24
"494","Agreement between the Royal Government of the Nethrlands and the Royal Greek Government concerning air transport between their respective territories","Greece, Netherlands*","22 December 1948 , in accordance with article 13",1949-07-07,"Transport, Aviation","Bilateral","32 (p.115)",1948-12-22,1949,7,7,1948,12,22,"Athens",1947-04-17,1947,4,17
"507","Agreement between the Government of the United States of America and the Royal Norwegian Government for the use of funds made available in accordance with the Letter Credit Agreement dated 18 June 1946, accepted by the Royal Norwegian Government on 29 July 1946","Norway*, United States of America","25 May 1949 by signature, in accordance with article 16",1949-07-29,"Credits","Bilateral","32 (p.345)",1949-05-25,1949,7,29,1949,5,25,"Oslo",1949-05-25,1949,5,25
"499","Agreement between Canada and the Netherlands for air services between the two countries (with annex and exchange of notes)","Canada, Netherlands*","2 June 1948 by signature, in accordance with article XII",1949-07-07,"Transport, Aviation","Bilateral","32 (p.215)",1948-06-02,1949,7,7,1948,6,2,"Ottawa",1948-06-02,1948,6,2
