"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"19","Franco-Netherlands Financial Agreement","France, Netherlands*","14 June 1940 by signature",1947-04-25,"Finance","Bilateral","2 (p.263)",1940-06-14,1947,4,25,1940,6,14,"London",1940-06-14,1940,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Extradition Treaty between Austria-Hungary and Greece","Austria, Greece*, Hungary","",1920-11-25,"Extradition","Bilateral","2 (p.174)",NA,1920,11,25,NA,NA,NA,"Athens",1904-12-21,1904,12,21,"Athens",1904-12-08,1904,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Extradition Treaty","Germany, Greece*","",1920-11-02,"Extradition","Bilateral","2 (p.111)",NA,1920,11,2,NA,NA,NA,"Athens",1907-03-12,1907,3,12,"Athens",1907-02-27,1907,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Exchange of notes providing for the extension to Burma of the Treaty of Commerce and Navigation signed at Bangkok on 23 November 1937 Bangkok, 3 April and 22 March 1940","Great Britain and Northern Ireland*, Siam","22 March 1940 by signature",1947-04-08,"Navigation, Trade","Bilateral","2 (p.215)",1940-03-22,1947,4,8,1940,3,22,"Bangkok",1940-04-03,1940,4,3,"Bangkok",1940-03-22,1940,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Exchange of notes of March 31, 1920 between Germany and Sweden concerning the prolongation of the Treaty of Commerce and Navigation of May2, 1911","Germany, Sweden","18 October 1920 by the exchange of the said notes",NA,"Trade, Navigation","Bilateral","2 (p.59)",1920-10-18,NA,NA,NA,1920,10,18,"Stockholm",1920-10-18,1920,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Exchange of notes concerning the treatment of Portuguese Commerce and Navigation in Norway and the treatment of Norwegian Commerce and Navigation in Portugal","Norway*, Portugal","",1920-12-23,"Trade, Navigation","Bilateral","2 (p.237)",NA,1920,12,23,NA,NA,NA,"Lisbon",1920-10-14,1920,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Exchange of notes between the Governments of the United States of America and Sweden concerning the denunciation of provisions No. 11 and 12 of the Consular Convention of June 1, 1910","Sweden*, United States of America","",1920-11-23,"Diplomatic and consular relations","Bilateral","2 (p.153)",NA,1920,11,23,NA,NA,NA,"Stockholm",1920-06-29,1920,6,29,"Stockholm",1920-06-18,1920,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Exchange of notes between the French and Swedish Governments renewing the international Convention for the transport of goods by rail, signed at Berne, October 14, 1890, together with all the relevant acts","France, Sweden*","",1920-12-11,"Transport","Bilateral","2 (p.183)",NA,1920,12,11,NA,NA,NA,"Stockholm",1920-11-25,1920,11,25,"Stockholm",1920-11-22,1920,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Exchange of notes between the Finnish and Swedish Governments concerning the validity of the declaration agreed to between Russia and Sweden on July 3/June 20, 1917, to regulate the floating of timber down the Tornea and Muonio rivers","Finland, Sweden*","",1920-11-23,"Watercourses-Water resources, Trade","Bilateral","2 (p.141)",NA,1920,11,23,NA,NA,NA,"Helsingfors",1920-05-10,1920,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Exchange of notes between Great Britain and Northern Ireland and Turkey regarding the settlement of claims against the Turkish Government in respect of outstanding judgments pronounced by the Anglo-Turkish Mixed Arbitral Tribunal constituted in virtue of Part 3, Section 5, of the Treaty of Lausanne, together with notes exchanged regarding the exclusion form this arrangement of the judgment given in favour of Messrs. Gilchrist, Walker and Company","Great Britain and Northern Ireland*, Turkey","23 March 1944 by signature",1947-04-08,"Judicial matters, Arbitration and conciliation, Claims-Debts","Bilateral","2 (p.243)",1944-03-23,1947,4,8,1944,3,23,"Ankara",1944-03-23,1944,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Exchange of notes between Great Britain and Northern Ireland and Brazil regarding the service of Brazilians in the British armed forces and the service of British subjects in the Brazilian armed forces","Brazil, Great Britain and Northern Ireland*","27 May 1944 by signature",1947-04-08,"Labour, Military matters","Bilateral","2 (p.235)",1944-05-27,1947,4,8,1944,5,27,"RiodeJaneiro",1944-05-27,1944,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Exchange of notes between Great Britain and Northern Irelan and El Salvador providing for the renewal of the Commercial Modus Vivendi for one year from 16 December 1943","El Salvador, Great Britain and Northern Ireland*","16 December 1943 by signature",1947-04-08,"Trade","Bilateral","2 (p.221)",1943-12-16,1947,4,8,1943,12,16,"SanSalvador",1943-12-13,1943,12,13,"SanSalvador",1943-12-09,1943,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Exchange of notes between Great Britain and Northern Irelan and Chile constituting a temporary Commercial Agreement","Chile, Great Britain and Northern Ireland*","1 July 1944 by signature",1947-04-08,"Assistance, Trade","Bilateral","2 (p.243)",1944-07-01,1947,4,8,1944,7,1,"Santiago",1944-06-23,1944,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Exchange of letters of 10 and 15 September 1920 between the Belgian and French Governmemnts concerning the approval of the franco-belgian military understanding of 7 September 1920","Belgium*, France*","",1920-11-04,"Military matters","Bilateral","2 (p.127)",NA,1920,11,4,NA,NA,NA,"Brussels",1920-09-10,1920,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Economic Agreement for mutual consultation between the French Republic, the Kingdom of Belgium, the Kingdom of the Netherlands and the Grand Duchy of Luxembourg","Belgium, France, Luxembourg, Netherlands*","11 October 1945",1947-04-25,"Mutual relations, Economic matters","Multilateral","2 (p.299)",1945-10-11,1947,4,25,1945,10,11,"Paris",1945-03-20,1945,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Decree of the Conference of Ambassadors with regard to Teschen, Spisz and Orava","France, Italy, Japan, United Kingdom, United States of America","28 July 1920 by signature",NA,"Territories, Frontiers","Multilateral","2 (p.49)",1920-07-28,NA,NA,NA,1920,7,28,"Paris",1920-08-05,1920,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Declarations with regard to exemption from duties on successions to movable property","Austria, Greece*","",1920-11-25,"Property matters","Bilateral","2 (p.161)",NA,1920,11,25,NA,NA,NA,"Athens",1904-09-16,1904,9,16,NA,NA,NA,NA,NA,"Athens","03/09/1904","Athens","09/09/1904","Athens","18/08/1902","Athens","05/08/1902","Athens","30/07/1902","Athens","12/08/1902"
"16","Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice. Washington, 5 April 1947","Sweden","6 April 1947",1947-04-06,"ICJ jurisdiction","Multilateral","2 (p.3)",1947-04-06,1947,4,6,1947,4,6,"Washington",1947-04-05,1947,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Declaration modifying the agreement of September 10, 1919, between the Allied and Associated Powers with regard to the contributions to the cost of liberation of the territories of the former Austro-Hungarian Monarchy","Belgium, China, Cuba, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Panama, Poland, Portugal, Siam, United Kingdom of Great Britain and Northern Ireland, United States of America","8 December 1919 by signature",NA,"Finance","Multilateral","2 (p.43)",1919-12-08,NA,NA,NA,1919,12,8,"Paris",1919-12-18,1919,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Declaration modifying the agreement of September 10, 1919 between the Allied and Associated Powers with regard to the Italian reparation payments, signed at Paris, December 8, 1919","Belgium, China, Cuba, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Panama, Poland, Portugal, Siam, United States of America","21 October 1920",NA,"Payments, Finance","Multilateral","2 (p.29)",1920-10-21,NA,NA,NA,1920,10,21,"Paris",1919-12-08,1919,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Convention with regard to the mutual extradition of deserters from the Navy and Mercantile Marine","Austria, Greece*","",1920-11-25,"Military matters","Bilateral","2 (p.169)",NA,1920,11,25,NA,NA,NA,"Athens",1874-03-28,1874,3,28,"Athens",1874-03-16,1874,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Convention with regard to succession of movable property of Greek subjects deceased in Austria, or of Austrian subjects deceased in Greece","Austria, Greece*","",1920-11-25,"Property matters","Bilateral","2 (p.157)",NA,1920,11,25,NA,NA,NA,"Athens",1856-06-12,1856,6,12,"Athens",1856-05-31,1856,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Convention concerning the succession rights on movable property, signed at Athens, November 18/ December 1, 1910.","Federal Republic of Germany, Greece*","22 March 1912",1920-11-02,"Property matters","Bilateral","2 (p.123)",1912-03-22,1920,11,2,1912,3,22,"Athens",1910-12-01,1910,12,1,"Athens",1910-11-18,1910,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Convention concerning the succession rights on movable property","Germany, Greece*","",1920-11-02,"Property matters","Bilateral","2 (p.123)",NA,1920,11,2,NA,NA,NA,"Athens",1920-12-01,1920,12,1,"Athens",1910-11-18,1910,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Belgo-Luxembourg-Netherlands Monetary Convention","Belgium, Luxembourg, Netherlands*","provisionally on 21 October 1943 by signature",1947-04-25,"Monetary matters","Multilateral","2 (p.281)",1943-10-21,1947,4,25,1943,10,21,"London",1943-10-21,1943,10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Arrangements for carrying out the agreement between the German Reich and the Russian socialist federal Soviet Republic with regard to the mutual repatriation of prisoners of war and interned civilians","Germany*, Russia","",1920-10-22,"War, Legal matters","Bilateral","2 (p.88)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-07-07,1920,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Arbitration Convention between the Estonian and Latvian Governments","Estonia, Latvia*","",1920-12-16,"Arbitration and conciliation","Bilateral","2 (p.187)",NA,1920,12,16,NA,NA,NA,"Walk",1920-03-22,1920,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Arbitration Convention","Latvia*, Lithuania","",1920-12-16,"Arbitration and conciliation","Bilateral","2 (p.233)",NA,1920,12,16,NA,NA,NA,"Riga",1920-09-28,1920,9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Anglo-Netherlands Financial Agreement (Curaçao and Surinam)","Netherlands*, United Kingdom of Great Britain and Northern Ireland","25 July 1940 by signature",1947-04-25,"Finance","Bilateral","2 (p.275)",1940-07-25,1947,4,25,1940,7,25,"London",1940-07-25,1940,7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Anglo-Netherlands Financial Agreement","Netherlands*, United Kingdom of Great Britain and Northern Ireland","14 June 1940 by signature",1947-04-25,"Finance","Bilateral","2 (p.251)",1940-06-14,1947,4,25,1940,6,14,"London",1940-06-14,1940,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Agreement with regard to the mutual repatriation of prisoners of war and interned civilians","Germany*, Russia","",1920-10-22,"War, Legal matters","Bilateral","2 (p.63)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-04-19,1920,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Agreement relating to Radiotelegraphic Communication between French Equtorial Africa and the Anglo-Egyptian Sudan","Anglo-Egyptian Sudan, French Equatorial Africa","15 October 1939 , in accordance with article VI",1947-04-08,"Telecommunications","Bilateral","2 (p.209)",1939-10-15,1947,4,8,1939,10,15,"Khartoum",1939-11-02,1939,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Agreement concerning the administration of the postal, telegraphic and telephone services in the Principality of Liechtenstein by the Swiss postal administration and the Swiss telegraphic and telephone administration","Liechtenstein, Switzerland*","1 February 1921",1921-01-01,"Telecommunications, Postal services","Bilateral","2 (p.277)",1921-02-01,1921,1,1,1921,2,1,"Bern",1920-11-10,1920,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Agreement between the Allied and Associated powers with regard to the contribution to the cost of liberation of the terrirtories of the former Austro-Hungarian Monarchy","China, Cuba, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Panama, Poland, Portugal, Romania, Serbia, Siam, United Kingdom, United States of America","",NA,"Payments, Finance","Multilateral","2 (p.5)",NA,NA,NA,NA,NA,NA,NA,"Saint-Germain-en-Laye",1919-09-10,1919,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Agreement between the Allied and Associated Powers with regard to teh Italian reparation payments, signed at Saint-Germani-en-Laye, September 10, 1919","Belgium, China, Czechoslovakia, France, Greece, Italy, Japan, Nicaragua, Poland, Portugal, Romania, Siam, United Kingdom, United States of America","21 October 1920 by signature",NA,"Payments, Finance","Multilateral","2 (p.21)",1920-10-21,NA,NA,NA,1920,10,21,"Saint-Germain-en-Laye",1919-10-10,1919,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Agreement between Sweden and the United States of America for the protection of literary and artistic works as set forth in documents signed at Stockholm on January 30 1920 and at Washington on February 27, 1920","Sweden*, United States of America","",1920-11-23,"Copyright","Bilateral","2 (p.147)",NA,1920,11,23,NA,NA,NA,"Washington",1920-02-27,1920,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Agreement between Germany and Latvia concerning the exchange of their respective prisoners","Germany*, Latvia","",1920-10-22,"War, Legal matters","Bilateral","2 (p.71)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-04-20,1920,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Agreement between Germany and Hungary with regard to the through transport of their respective prisoners of War","Germany*, Hungary","",1920-10-22,"War, Legal matters","Bilateral","2 (p.79)",NA,1920,10,22,NA,NA,NA,"Berlin",1920-05-08,1920,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Agreement and protocol concluded between Germany and Austria for the settlement of certain financial questions","Austria, Germany*","",1920-11-20,"Finance","Bilateral","2 (p.131)",NA,1920,11,20,NA,NA,NA,"Munich",1920-09-01,1920,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","(b) Articles of Agreement of the International Bank for Reconstruction and Development","Afghanistan, Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Botswana, Brazil, Burma, Burundi, Cambodia, Cameroon, Canada, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Congo (Brazzaville), Congo (Leopoldville), Costa Rica, Cuba, Cuba, Cyprus, Czechoslovakia, Czechoslovakia, Dahomey, Denmark, Dominican Republic, Dominican Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Federal Republic of Germany, Fiji, Finland, France, Gabon, Gambia, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Iceland, India, Indonesia, Indonesia, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kenya, Korea, Laos, Lebanon, Lesotho, Libya, Luxembourg, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mexico, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, None, Norway, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Poland, Portugal, Qatar, Rwanda, Saudi Arabia, Singapore, South Africa, Southern Yemen, Spain, Sudan, Swaziland, Sweden, Syria, Syrian Arab Republic, Thailand, Trinidad and Tobago, Tunisia, Turkey, Uganda, United Arab Emirates, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, United States of America, Upper Volta, Uruguay, Venezuela, Viet Nam, Yemen Arab Republic, Yugoslavia (Socialist Federal Republic of), Zambia","27 December 1945",1947-04-25,"Bretton Woods Agreements (IMF), Charters-Constitutions-Statutes, International Bank for Reconstruction and Development (IBRD)","Multilateral","2 (p.134)",1945-12-27,1947,4,25,1945,12,27,"Washington",1945-12-27,1945,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","(a) Articles of Agreement of the International Monetary Fund","Afghanistan, Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Barbados, Belgium, Bolivia, Botswana, Brazil, Burma, Burundi, Cambodia, Cameroon, Canada, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Congo (Brazzaville), Congo (Leopoldville), Costa Rica, Cuba, Cuba, Cyprus, Czechoslovakia, Czechoslovakia, Dahomey, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Ethiopia, Federal Republic of Germany, Fiji, Finland, France, Gabon, Gambia, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Iceland, India, Indonesia, Indonesia, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kenya, Korea, Kuwait, Laos, Lebanon, Lesotho, Liberia, Libya, Luxembourg, Madagascar, Malawi, Malaysia, Malaysia, Mali, Malta, Mauritania, Mauritius, Mexico, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, None, Norway, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Poland, Portugal, Qatar, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, Southern Yemen, Spain, Sudan, Swaziland, Sweden, Syria, Tanganyika, Thailand, Togo, Trinidad and Tobago, Trust Territory of Western Samoa, Tunisia, Turkey, Uganda, United Arab Emirates, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United States of America, Upper Volta, Uruguay, Venezuela, Viet Nam, Yemen Arab Republic, Yugoslavia (Socialist Federal Republic of), Zambia","27 December 1945",1947-04-25,"Bretton Woods Agreements (IMF), International Monetary Fund (IMF), Charters-Constitutions-Statutes","Multilateral","2 (p.39)",1945-12-27,1947,4,25,1945,12,27,"Washington",1945-12-27,1945,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
